sample;height;age;lithology;duplicate;total_FOV;total_nanno;Schizo;Crepido;Bisc;Sim;Solla;Stau;Strad;Loth;coccolith indet.
29C;0;Pliensbachian;1;no;300;0;0;0;0;0;0;0;0;0;0
30C;1.1;Pliensbachian;0;no;300;0;0;0;0;0;0;0;0;0;0
28C;1.5;Pliensbachian;1;no;300;0;0;0;0;0;0;0;0;0;0
10C;1.8;Pliensbachian;0;no;300;1;1;0;0;0;0;0;0;0;0
9C;1.8;Pliensbachian;1;no;300;0;0;0;0;0;0;0;0;0;0
11C;2;Toarcian;1;no;300;25;9;2;5;5;3;0;1;0;2
26C;2.4;Toarcian;0;no;400;309;110;9;11;16;27;65;39;32;23
24C;2.6;Toarcian;0;no;400;340;244;9;15;13;19;15;5;20;19
22C;3.1;Toarcian;0;no;300;496;242;87;31;32;23;24;23;34;42
25C;3.1;Toarcian;1;no;400;224;209;1;2;6;2;0;2;2;6
23C;3.3;Toarcian;0;no;300;407;205;71;29;46;8;7;5;36;34
12C;3.5;Toarcian;0;no;300;460;302;58;21;22;19;10;13;25;29
13A;3.8;Toarcian;1;yes;300;194;187;4;0;1;0;0;0;2;45
13C;3.8;Toarcian;1;no;300;307;209;24;20;29;2;4;7;12;16
13D;3.8;Toarcian;1;yes;300;310;212;32;17;23;5;2;13;6;27
14A;3.9;Toarcian;0;yes;300;418;341;53;3;14;0;3;1;3;61
14C;3.9;Toarcian;0;no;300;565;327;55;44;68;14;13;19;25;53
14D;3.9;Toarcian;0;yes;300;590;357;69;31;54;15;16;25;23;64
15C;4;Toarcian;1;no;400;369;242;50;21;37;8;5;11;5;27
16C;4.1;Toarcian;0;no;300;363;191;52;34;39;16;2;10;19;33
17C;4.2;Toarcian;1;no;400;317;172;64;16;24;12;12;8;9;19
18C;4.4;Toarcian;0;no;300;433;212;47;61;60;12;6;12;23;51
21C;5.1;Toarcian;0;no;300;590;295;50;26;46;29;20;73;51;70
